Date;11-PIT-001;12-PIT-001;12-PIT-003;12-PIT-005;13-PIT-001;14-PIT-001;15-PIT-001
1/7/2025 12:40 PM;791,3677979;2245,6521;2266,00708;-12,33716965;1661,421997;4157,828125;3734,614014
1/7/2025 12:45 PM;790,3342285;2244,816895;2265,251953;0,996710598;1661,233032;4157,448242;3726,549072
1/7/2025 12:50 PM;789,3007202;2244,085938;2264,233887;-12,26301003;1661,045044;4157,068848;3726,061035
1/7/2025 12:55 PM;788,2672119;2243,326904;2263,508057;-12,15058994;1660,855957;4156,689941;3726,2229
1/7/2025 1:00 PM;787,2335815;2242,323975;2262,868896;-12,03818035;1660,667969;4156,311035;3726,237061
1/7/2025 1:05 PM;786,2000122;2241,524902;2261,842041;-11,92576027;1660,479004;4155,932129;3726,570068
1/7/2025 1:10 PM;785,1663818;2241,308105;2261,263916;-11,0214901;1660,291016;4155,551758;3725,468994
1/7/2025 1:15 PM;784,1328735;2240,349121;2282,481934;4,928026199;1660,147949;4157,209961;3733,791992
1/7/2025 1:20 PM;783,0993042;2261,903076;2282,325928;-9,809329987;1660,555054;4160,404785;3765,660889
1/7/2025 1:25 PM;782,0657959;2239,218994;2278,306885;-0,239618003;1660,962036;4162,573242;3739,639893
1/7/2025 1:30 PM;781,0322266;2238,143066;2258,495117;9,330093384;1661,368042;4164,130859;3738,797119
1/7/2025 1:35 PM;779,9987183;2237,76001;2258,168945;-8,25586319;1661,775024;4165,688965;3763,068115
1/7/2025 1:40 PM;778,9650879;2237,287109;2257,248047;-9,242862701;1662,182007;4167,24707;3746,465088
1/7/2025 1:45 PM;777,9315186;2236,343994;2274,633057;-11,54625988;1662,588989;4168,804199;3763,843018
1/7/2025 1:50 PM;776,8978882;2235,878906;2261,36499;-8,594736099;1662,994995;4170,361816;3748,637939
1/7/2025 1:55 PM;775,8643799;2235,554932;2277,431885;-5,643208027;1663,401978;4171,919922;3749,560059
1/7/2025 2:00 PM;774,8308716;2235,437012;2255,811035;-2,691679001;1663,80896;4173,478027;3758,910889
1/7/2025 2:05 PM;773,7973022;2235,917969;2270,358887;0,259849608;1664,215942;4175,036133;3748,667969
1/7/2025 2:10 PM;772,7636719;2235,406982;2267,926025;3,211378098;1664,623047;4176,592773;3752,272949
1/7/2025 2:15 PM;771,3095703;2235,506104;2256,11499;6,162907124;1665,029053;4178,150879;3750,866943
1/7/2025 2:20 PM;769,689209;2235,506104;2255,934082;9,11443615;1665,436035;4179,807129;3751,199951
1/7/2025 2:25 PM;768,0687866;2235,506104;2255,934082;12,06595993;1665,843018;4183,318848;3751,889893
1/7/2025 2:30 PM;766,4484253;2235,626953;2268,98291;-10,22564983;1666,25;4186,832031;3752,042969
1/7/2025 2:35 PM;764,8278809;2235,749023;2256,177002;-0,737620771;1666,656006;4190,344238;3752,190918
1/7/2025 2:40 PM;763,2075195;2235,749023;2256,818115;8,75041008;1667,062988;4193,856934;3775,020996
1/7/2025 2:45 PM;-16,66673088;76,72431946;96,52133942;42,47827911;1217,644043;2520,676025;909,270813
1/7/2025 2:50 PM;-5,349939823;1488,737061;1644,855957;-25,45531082;668,0604858;2182,935059;522,8477783
1/7/2025 2:55 PM;5,966852188;1527,516968;1555,807983;-18,42452049;1321,649048;3870,306885;3276,481934
1/7/2025 3:00 PM;151,7353973;2144,033936;2136,344971;-11,39373016;1756,974976;4471,64502;3974,134033
1/7/2025 3:05 PM;-6,705018997;116,0916977;129,6784058;70,50106812;747,189209;2413,278076;900,7987061
1/7/2025 3:10 PM;1271,921021;1281,661987;1302,550049;1245,630005;1465,199951;2964,208984;827,6751709
1/7/2025 3:15 PM;1793,666992;1789,130005;1790,968018;1733,282959;1480,977051;3129,875977;958,0253906
1/7/2025 3:20 PM;2727,4021;3619,756104;3632,417969;3577,731934;3483,262939;4782,324219;1860,868042
1/7/2025 3:25 PM;2524,605957;3441,468018;3460,636963;3428,543945;3457,780029;5087,059082;2332,863037
1/7/2025 3:30 PM;1627,755005;2673,479004;2695,071045;2643,74707;2794,802002;4585,433105;1867,802002
1/7/2025 3:35 PM;824,5059204;1838,25;1852,608032;1796,166992;2157,684082;4236,501953;1670,368042
1/7/2025 3:40 PM;474,4739075;1448,395996;1468,303955;1410,666016;1710,416992;3864,10498;1602,662964
1/7/2025 3:45 PM;259,8291931;1214,786011;1248,833008;1173,041992;1681,129028;3797,072998;1604,102051
1/7/2025 3:50 PM;53,2029686;1124,920044;1140,129028;1089,202026;1737,113037;4075,739014;1980,276978
1/7/2025 3:55 PM;70,48993683;1157,630981;1174,464966;1114,55603;1730,61499;4067,522949;2010,314941
1/7/2025 4:00 PM;110,0852966;1178,569946;1189,56897;1136,161987;1800,801025;4129,217773;1961,937988
1/7/2025 4:05 PM;199,8029022;1248,006958;1262,5;1203,192017;1992,363037;4305,371094;2056,898926
1/7/2025 4:10 PM;339,2088928;1405,310059;1410,953003;1369,947998;2069,729004;4382,595215;2048,891113
1/7/2025 4:15 PM;698,1616211;1706,103027;1720,982056;1672,55603;2156,325928;4406,953125;2014,380981
1/7/2025 4:20 PM;880,6486206;1852,333984;1866,162964;1819,98999;2388,14502;4556,762207;2075,7771
